offense_type,year,CJARS,SCPS,source
any,1996,-1.3881615,-.6454972,age
any,1998,-.74476552,-.6454972,age
any,2000,-.51685601,-.6454972,age
any,2002,-.18535891,-.6454972,age
any,2006,1.3064412,1.2909944,age
any,2009,1.1776192,1.2909944,age
any,1996,1.101119,1.5784457,race
any,1996,-1.626003,-.78229761,race
any,1996,.52488393,-.87309545,race
any,1998,.98516417,1.1244566,race
any,1998,-1.5874848,-.60070199,race
any,1998,.60232061,-.50990415,race
any,2000,.88494986,1.1244566,race
any,2000,-1.5123849,-.87309545,race
any,2000,.62743509,-.23751068,race
any,2002,.73550403,.94286096,race
any,2002,-1.2830013,-.78229761,race
any,2002,.54749709,-.14671287,race
any,2004,.6621834,.85206318,race
any,2004,-1.2217716,-.41910633,race
any,2004,.55958825,-.32830849,race
any,2006,.65103662,1.1244566,race
any,2006,-1.1181014,-.78229761,race
any,2006,.46706483,-.32830849,race
any,2009,.83469892,1.1244566,race
any,2009,-1.0814979,-.78229761,race
any,2009,.24679908,-.23751068,race
any,1996,-.94683665,-.93033481,sex
any,1996,.94683671,.93033481,sex
any,1998,-.94129568,-.87560922,sex
any,1998,.94129562,.87560922,sex
any,2000,-.95145506,-.84824646,sex
any,2000,.95145512,.84824646,sex
any,2002,-.98167801,-.87560922,sex
any,2002,.98167801,.87560922,sex
any,2006,-.95749843,-.87560922,sex
any,2006,.95749843,.87560922,sex
any,2009,-1.00679,-.90297198,sex
any,2009,1.00679,.90297198,sex
any,1996,-.92125803,-.92577249,disposition
any,1996,1.5983115,1.669606,disposition
any,1996,-.0084467456,.14945574,disposition
any,1996,-.66860658,-.92577249,disposition
any,1998,-.92310309,-.88869566,disposition
any,1998,1.6060927,1.5954523,disposition
any,1998,-.032438636,.075302064,disposition
any,1998,-.65055096,-.77746511,disposition
any,2000,-.92126149,-.88869566,disposition
any,2000,1.5494498,1.447145,disposition
any,2000,-.012557456,.038225234,disposition
any,2000,-.61563087,-.59208095,disposition
any,2002,-.92415595,-.88869566,disposition
any,2002,1.6203208,1.5954523,disposition
any,2002,-.061250202,-.035928436,disposition
any,2002,-.63491464,-.66623461,disposition
any,2006,-.92460799,-.88869566,disposition
any,2006,1.6443454,1.5954523,disposition
any,2006,-.13001801,-.073005274,disposition
any,2006,-.5897193,-.62915778,disposition
any,2009,-.92503774,-.88869566,disposition
any,2009,1.6385951,1.5212986,disposition
any,2009,-.09199287,.0011483976,disposition
any,2009,-.62156463,-.59208095,disposition
any,1996,1.6389102,1.7267987,timing
any,1996,-.54916519,-.2974301,timing
any,1996,-.58442706,-.54428726,timing
any,1996,-.50531787,-.84051585,timing
any,1998,1.7011449,1.5786843,timing
any,1998,-.60811782,-.34680155,timing
any,1998,-.55243975,-.54428726,timing
any,1998,-.54058748,-.69240159,timing
any,2000,1.6993684,1.9242843,timing
any,2000,-.58503258,-.54428726,timing
any,2000,-.58097953,-.59365869,timing
any,2000,-.53335619,-.79114443,timing
any,2002,1.6997254,1.8255415,timing
any,2002,-.61164761,-.54428726,timing
any,2002,-.58559006,-.54428726,timing
any,2002,-.50248772,-.74177301,timing
any,2006,1.7150971,2.0230272,timing
any,2006,-.60142952,-.59365869,timing
any,2006,-.61858898,-.59365869,timing
any,2006,-.49507862,-.84051585,timing
any,2009,1.7308153,1.7267987,timing
any,2009,-.61293364,-.34680155,timing
any,2009,-.60674596,-.54428726,timing
any,2009,-.5111357,-.84051585,timing
any,1996,1.3481894,-.069140665,incarceration
any,1996,-.6081391,-.3487848,incarceration
any,1998,1.3242629,-.069140665,incarceration
any,1998,-.97421241,-.3487848,incarceration
any,2000,1.1589954,-.10727395,incarceration
any,2000,-.97421241,-.39962918,incarceration
any,2002,.68369216,-.069140665,incarceration
any,2002,-.97421241,-.39962918,incarceration
any,2006,.54729617,-.18354054,incarceration
any,2006,-1.0524606,-.50131798,incarceration
any,2009,.82463187,-.14540724,incarceration
any,2009,-.97421241,-.42505139,incarceration
any,1996,-.8048529,.37173361,probation
any,1998,-.8048529,.37173361,probation
any,2000,1.2720813,1.3603868,probation
