year_,cjars_entries_Arizona,nps_entries_Arizona,ncrp_entries_Arizona,cjars_nps_ratio_Arizona,cjars_ncrp_ratio_Arizona,cjars_entries_Colorado,nps_entries_Colorado,ncrp_entries_Colorado,cjars_nps_ratio_Colorado,cjars_ncrp_ratio_Colorado,cjars_entries_Florida,nps_entries_Florida,ncrp_entries_Florida,cjars_nps_ratio_Florida,cjars_ncrp_ratio_Florida,cjars_entries_Michigan,nps_entries_Michigan,ncrp_entries_Michigan,cjars_nps_ratio_Michigan,cjars_ncrp_ratio_Michigan,cjars_entries_Nebraska,nps_entries_Nebraska,ncrp_entries_Nebraska,cjars_nps_ratio_Nebraska,cjars_ncrp_ratio_Nebraska,cjars_entries_North_Carolina,nps_entries_North_Carolina,ncrp_entries_North_Carolina,cjars_nps_ratio_North_Carolina,cjars_ncrp_ratio_North_Carolina,cjars_entries_Pennsylvania,nps_entries_Pennsylvania,ncrp_entries_Pennsylvania,cjars_nps_ratio_Pennsylvania,cjars_ncrp_ratio_Pennsylvania,cjars_entries_Texas,nps_entries_Texas,ncrp_entries_Texas,cjars_nps_ratio_Texas,cjars_ncrp_ratio_Texas,cjars_entries_Washington,nps_entries_Washington,ncrp_entries_Washington,cjars_nps_ratio_Washington,cjars_ncrp_ratio_Washington,cjars_entries_Wisconsin,nps_entries_Wisconsin,ncrp_entries_Wisconsin,cjars_nps_ratio_Wisconsin,cjars_ncrp_ratio_Wisconsin
1980,,2276,,,,,1556,,,,,10235,,,,,6684,,,,,821,,,,10106,8354,,1.2097199,,,4254,,,,15073,15363,,0.98112351,,832,2453,,0.33917651,,,1948,,,
1981,,2919,,,,,1860,,,,,13579,,,,5065,7030,,0.72048366,,,947,,,,11529,9402,,1.2262285,,,5129,,,,16346,16750,,0.97588062,,1121,2961,,0.37858832,,,2341,,,
1982,,3110,,,,,2066,,,,5164,14900,,0.34657717,,6691,7159,,0.93462771,,786,695,,1.1309353,,12755,9485,,1.3447549,,,5343,,,,20563,21143,,0.97256774,,1441,2849,,0.50579149,,,2304,,,
1983,2936,3310,,0.88700908,,,2349,,,,4919,17836,,0.27579054,,7203,7305,,0.98603696,,723,613,,1.1794454,,12719,8943,,1.4222296,,,5720,,,,22535,22859,,0.98582613,,1740,2796,,0.62231761,,,2649,,,
1984,3147,3409,,0.92314464,,,2343,,,,4839,13739,,0.35220903,,7475,7693,,0.97166252,,687,635,,1.0818897,,12815,8949,,1.4320036,,,5939,,,,23231,23454,,0.99049205,,1870,2525,,0.74059409,,,2528,,,
1985,3690,4125,,0.89454544,,,2627,,,,6204,16416,,0.37792397,,8207,8373,,0.98017436,,747,710,,1.0521127,,14113,9269,,1.5226022,,,6172,,,,26670,26759,,0.996674,,2014,2842,,0.70865589,,,2589,,,
1986,4487,4629,,0.96932381,,,2961,,,,8425,20879,,0.40351549,,8736,8658,,1.009009,,851,822,,1.0352798,,14557,9640,,1.5100622,,,6288,,,,32656,32690,,0.9989599,,2104,2702,,0.77868247,,,2791,,,
1987,5009,5534,,0.90513194,,,3355,,,,11883,27590,,0.43069953,,9690,9210,,1.0521172,,990,835,,1.1856288,,14157,10692,,1.324074,,,6381,,,,34389,34502,,0.99672484,,2533,2903,,0.87254566,,,2868,,,
1988,5439,5463,,0.99560678,,,3254,,,,16747,36656,,0.45686927,,11468,11258,,1.0186534,,981,1078,,0.91001856,,15362,12601,,1.2191095,,7087,7099,,0.99830961,,34992,34739,,1.0072829,,3811,3233,,1.1787813,,,2775,,,
1989,6087,6161,,0.98798895,,,3498,,,,22017,45611,,0.48271251,,13604,13405,,1.0148453,,1223,1259,,0.97140586,,18137,15709,,1.154561,,8757,8813,,0.99364573,,34180,36928,,0.92558491,,3652,4155,,0.87894106,,,3254,,,
1990,6693,6657,,1.0054078,,,3439,,,,22381,43569,,0.51369095,,12864,13362,,0.96273011,,1249,1253,,0.99680763,,20076,18389,,1.0917397,,9091,9067,,1.0026469,,44130,45829,,0.9629274,,3949,4597,,0.85903853,,3212,3440,,0.93372095,
1991,6819,7790,,0.87535304,,,4037,3081,,,20286,37440,34477,0.5418269,0.58839226,12950,13453,13354,0.96261054,0.96974689,1272,1404,1600,0.90598291,0.79500002,23102,21696,27006,1.0648046,0.85543954,9557,9611,9534,0.99438143,1.0024124,35519,37820,37785,0.93915915,0.94002908,4195,4905,4740,0.85524976,0.88502109,3914,3968,4039,0.98639113,0.96905172
1992,7415,7705,,0.96236211,,,4359,4155,,,20913,34626,33012,0.60396814,0.63349688,12979,13891,13458,0.93434596,0.9644078,1283,1411,1582,0.90928417,0.81099874,24651,24850,29616,0.99199194,0.83235413,10232,10063,10109,1.0167942,1.0121673,33141,39886,39677,0.83089304,0.83526981,4876,5476,5335,0.89043099,0.91396439,4930,4696,4735,1.0498296,1.0411826
1993,8237,8171,,1.0080774,,,4510,4159,,,19824,32269,28543,0.61433572,0.69453108,11074,12590,12557,0.87958699,0.88189852,1267,1468,1594,0.86307901,0.79485571,24439,25577,29852,0.95550692,0.81867212,10006,9893,9893,1.0114223,1.0114223,23419,29916,,0.78282523,,4788,5425,5275,0.88258064,0.90767771,5603,5814,5089,0.96370828,1.1010022
1994,8779,9295,,0.94448626,,,4964,4680,,,18586,29897,24325,0.62166774,0.76406991,10541,12419,12126,0.8487801,0.86928916,1370,1608,1706,0.85199004,0.80304807,21297,23867,27727,0.89231992,0.76809609,11387,11400,11275,0.99885964,1.0099335,37968,44862,,0.84632874,,4978,5751,5637,0.86558861,0.88309383,6150,6433,5490,0.95600808,1.1202186
